date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:13:02	0/0	---M--	200	added ('OK')	text/html	date:Tue,%2014%20Sep%202021%2014:13:02%20GMT	https://www.cybelius.fr/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fwww.cybelius.fr%2F%3Fpage_id%3D2843&format=xml	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index.1ce13de.delayed	(from https://www.cybelius.fr/?page_id=2843)
22:13:03	68/68	---M--	200	added ('OK')	text/plain	etag:%2244-5c29807db9c8c%22	http://www.cybelius.fr/robots.txt		(from https://www.cybelius.fr/?page_id=2843&lang=en)
22:13:05	48682/48682	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Sep%202021%2014:13:04%20GMT	https://www.cybelius.fr/?page_id=2843%26lang=en	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index2840.html	(from https://www.cybelius.fr/?p=2843&lang=en)
22:13:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Sep%202021%2014:13:04%20GMT	https://www.cybelius.fr/?p=2856	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index261a.html	(from https://www.cybelius.fr/?page_id=2856)
22:13:06	2765/2765	---MC-	200	added ('OK')	application/json	date:Tue,%2014%20Sep%202021%2014:13:04%20GMT	https://www.cybelius.fr/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fwww.cybelius.fr%2F%3Fpage_id%3D2856	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index89b7.json	(from https://www.cybelius.fr/?page_id=2856)
22:13:07	0/0	---M--	200	added ('OK')	text/html	date:Tue,%2014%20Sep%202021%2014:13:07%20GMT	https://www.cybelius.fr/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fwww.cybelius.fr%2F%3Fpage_id%3D2856&format=xml	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index.1d008f8.delayed	(from https://www.cybelius.fr/?page_id=2856)
22:13:12	41187/41187	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Sep%202021%2014:13:08%20GMT	https://www.cybelius.fr/?page_id=3793%26lang%3Den	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index3594.html	(from https://www.cybelius.fr/?page_id=3793%26lang=en)
22:13:17	41187/41187	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Sep%202021%2014:13:14%20GMT	https://www.cybelius.fr/?page_id=3800%26lang%3Den	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index2cd9.html	(from https://www.cybelius.fr/?page_id=3800%26lang=en)
22:13:40	50033/50033	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Sep%202021%2014:13:08%20GMT	https://www.cybelius.fr/?page_id=2856%26lang=en	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index4920.html	(from https://www.cybelius.fr/?p=2856&lang=en)
22:13:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Sep%202021%2014:13:08%20GMT	https://www.cybelius.fr/?page_id=4308%26lang=en	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/indexca52.html	(from https://www.cybelius.fr/?p=4308&lang=en)
22:13:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Sep%202021%2014:13:08%20GMT	https://www.cybelius.fr/?page_id=4302%26lang=en	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/indexc16a.html	(from https://www.cybelius.fr/?p=4302&lang=en)
22:13:45	41187/41187	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Sep%202021%2014:13:42%20GMT	https://www.cybelius.fr/?page_id=2736%26lang%3Den	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index3567.html	(from https://www.cybelius.fr/?page_id=2736%26lang=en)
22:13:45	41187/41187	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Sep%202021%2014:13:42%20GMT	https://www.cybelius.fr/?page_id=3803%26lang%3Den	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index2359.html	(from https://www.cybelius.fr/?page_id=3803%26lang=en)
